facility,year,quarter,art_current,art_new
vadig,2019,1,884,31
vadig,2019,2,1033,17
vadig,2019,3,891,7
vadig,2019,4,683,23
vadig,2020,2,637,27
vadig,2020,1,610,16
subis,2015,1,249,7
subis,2015,2,241,NA
subis,2015,3,240,4
subis,2015,4,233,2
subis,2016,1,234,4
subis,2016,2,237,5
subis,2016,3,248,10
subis,2016,4,250,8
subis,2017,1,260,15
subis,2017,2,165,5
subis,2017,3,187,4
subis,2017,4,198,2
subis,2018,1,215,7
subis,2018,2,228,9
subis,2018,3,226,4
subis,2018,4,215,2
subis,2019,1,225,12
subis,2019,2,222,4
subis,2019,3,226,4
subis,2019,4,227,2
subis,2020,2,214,3
subis,2020,1,268,4
kogur,2015,1,88,3
kogur,2015,2,87,1
kogur,2015,3,94,1
kogur,2015,4,90,1
kogur,2016,1,94,4
kogur,2016,2,90,0
kogur,2016,3,90,0
kogur,2016,4,93,2
kogur,2017,1,92,4
kogur,2017,2,94,2
kogur,2017,3,93,0
kogur,2017,4,91,0
kogur,2018,1,91,2
kogur,2018,2,83,0
kogur,2018,3,92,1
kogur,2018,4,91,0
kogur,2019,1,87,1
kogur,2019,2,91,0
kogur,2019,3,80,0
kogur,2019,4,78,3
kogur,2020,1,74,0
kogur,2020,2,75,0
noris,2015,1,6,0
jonor,2015,1,28,0
jonor,2015,2,27,1
jonor,2015,3,27,1
jonor,2015,4,28,1
jonor,2016,1,28,0
jonor,2016,2,29,1
jonor,2016,3,29,0
jonor,2016,4,28,0
jonor,2017,1,28,0
jonor,2017,2,27,3
jonor,2017,3,27,0
jonor,2017,4,27,0
jonor,2018,1,28,1
jonor,2018,2,30,2
jonor,2018,3,31,0
jonor,2018,4,29,1
jonor,2019,1,28,0
jonor,2019,2,28,0
jonor,2019,3,25,0
jonor,2019,4,25,0
jonor,2020,1,160,0
jonor,2020,2,160,0
zumob,2015,1,683,45
zumob,2015,2,721,42
zumob,2015,3,710,33
zumob,2015,4,733,30
zumob,2016,1,697,30
zumob,2016,2,757,31
zumob,2016,3,787,31
zumob,2016,4,790,26
zumob,2017,1,813,36
zumob,2017,2,838,42
zumob,2017,3,847,24
zumob,2017,4,906,28
zumob,2018,1,919,33
zumob,2018,2,895,29
zumob,2018,3,859,35
zumob,2018,4,964,41
zumob,2019,1,1033,29
zumob,2019,2,1034,25
zumob,2019,3,1059,40
zumob,2019,4,1061,23
zumob,2020,2,1045,14
zumob,2020,1,1078,39
gipih,2015,1,203,7
gipih,2015,2,199,7
gipih,2015,3,202,8
gipih,2015,4,203,9
gipih,2016,1,201,11
gipih,2016,2,193,10
gipih,2016,3,199,7
gipih,2016,4,197,9
gipih,2017,1,202,9
gipih,2017,2,187,2
gipih,2017,3,199,11
gipih,2017,4,197,2
gipih,2018,1,218,15
gipih,2018,2,213,7
gipih,2018,3,200,1
gipih,2018,4,200,4
gipih,2019,1,192,6
gipih,2019,2,199,11
gipih,2019,3,192,7
gipih,2019,4,203,6
gipih,2020,2,236,6
gipih,2020,1,201,10
lonoj,2015,1,91,2
lonoj,2015,2,99,4
lonoj,2015,3,98,3
lonoj,2015,4,101,0
lonoj,2016,1,96,1
lonoj,2016,2,92,0
lonoj,2016,3,100,1
lonoj,2016,4,93,1
lonoj,2017,1,86,2
lonoj,2017,2,92,6
lonoj,2017,3,118,2
lonoj,2017,4,120,1
lonoj,2018,1,107,6
lonoj,2018,2,103,0
lonoj,2018,3,67,0
lonoj,2018,4,65,2
lonoj,2019,1,65,1
lonoj,2019,2,65,1
lonoj,2019,3,68,1
lonoj,2019,4,82,3
lonoj,2020,2,55,1
lonoj,2020,1,62,1
nojam,2015,1,72,1
nojam,2015,2,67,1
nojam,2015,3,71,2
nojam,2015,4,67,0
nojam,2016,1,67,0
nojam,2016,2,64,5
nojam,2016,3,73,1
nojam,2016,4,60,0
nojam,2017,1,64,7
nojam,2017,2,101,2
nojam,2017,3,72,3
nojam,2017,4,62,5
nojam,2018,1,62,0
nojam,2018,2,64,2
nojam,2018,3,83,7
nojam,2018,4,122,2
nojam,2019,1,89,6
nojam,2019,2,81,1
nojam,2019,3,84,1
nojam,2019,4,64,4
nojam,2020,2,64,3
nojam,2020,1,64,0
rotik,2015,1,26,3
rotik,2015,2,29,2
rotik,2015,3,30,2
rotik,2015,4,29,0
rotik,2016,1,34,6
rotik,2016,2,34,0
rotik,2016,3,38,5
rotik,2016,4,38,1
rotik,2017,1,39,1
rotik,2017,2,41,2
rotik,2017,3,45,4
rotik,2017,4,46,1
rotik,2018,1,48,1
rotik,2018,2,48,1
rotik,2018,3,48,0
rotik,2018,4,49,1
rotik,2019,1,43,0
rotik,2019,2,41,0
rotik,2019,3,43,5
rotik,2019,4,48,4
rotik,2020,1,50,5
rotik,2020,2,52,2
kunuj,2015,1,174,7
kunuj,2015,2,175,7
kunuj,2015,3,181,8
kunuj,2015,4,185,5
kunuj,2016,1,184,3
kunuj,2016,2,189,4
kunuj,2016,3,195,9
kunuj,2016,4,193,3
kunuj,2017,1,195,8
kunuj,2017,2,203,9
kunuj,2017,3,207,8
kunuj,2017,4,211,10
kunuj,2018,1,210,3
kunuj,2018,2,216,6
kunuj,2018,3,217,3
kunuj,2018,4,223,3
kunuj,2019,1,213,1
kunuj,2019,2,208,5
kunuj,2019,3,206,4
kunuj,2019,4,204,2
kunuj,2020,2,216,4
kunuj,2020,1,214,5
batin,2015,1,117,2
batin,2015,2,124,4
batin,2015,3,116,6
batin,2015,4,127,7
batin,2016,1,127,2
batin,2016,2,130,5
batin,2016,3,132,5
batin,2016,4,132,7
batin,2017,1,132,1
batin,2017,2,133,4
batin,2017,3,131,7
batin,2017,4,128,1
batin,2018,1,129,3
batin,2018,2,120,0
batin,2018,3,125,7
batin,2018,4,117,0
batin,2019,1,113,0
batin,2019,2,107,0
batin,2019,3,106,4
batin,2019,4,99,2
batin,2020,2,100,0
batin,2020,1,100,0
donop,2015,1,264,15
donop,2015,2,281,17
donop,2015,3,280,23
donop,2015,4,290,23
donop,2016,1,240,7
donop,2016,2,291,15
donop,2016,3,299,21
donop,2016,4,304,10
donop,2017,1,274,12
donop,2017,2,304,18
donop,2017,3,315,10
donop,2017,4,330,12
donop,2018,1,408,7
donop,2018,2,307,10
donop,2018,3,295,7
donop,2018,4,307,5
donop,2019,1,305,8
donop,2019,2,313,9
donop,2019,3,303,9
donop,2019,4,303,10
donop,2020,2,299,9
donop,2020,1,287,7
pazit,2015,1,109,2
pazit,2015,2,109,1
pazit,2015,3,112,5
pazit,2015,4,109,0
pazit,2016,1,115,6
pazit,2016,2,116,2
pazit,2016,3,123,8
pazit,2016,4,129,9
pazit,2017,1,137,9
pazit,2017,2,144,7
pazit,2017,3,147,5
pazit,2017,4,153,8
pazit,2018,1,162,11
pazit,2018,2,165,6
pazit,2018,3,165,3
pazit,2018,4,171,6
pazit,2019,1,167,2
pazit,2019,2,164,3
pazit,2019,3,165,4
pazit,2019,4,172,6
pazit,2020,2,179,0
pazit,2020,1,166,3
luriz,2015,1,247,9
luriz,2015,2,374,16
luriz,2015,3,374,11
luriz,2015,4,245,12
luriz,2016,1,232,8
luriz,2016,2,261,14
luriz,2016,3,277,13
luriz,2016,4,264,16
luriz,2017,1,257,29
luriz,2017,2,279,21
luriz,2017,3,317,24
luriz,2017,4,316,11
luriz,2018,1,330,9
luriz,2018,2,337,13
luriz,2018,3,335,7
luriz,2018,4,335,11
luriz,2019,1,336,10
luriz,2019,2,345,13
luriz,2019,3,347,7
luriz,2019,4,346,5
luriz,2020,1,320,6
luriz,2020,2,324,4
fudok,2015,1,57,7
fudok,2015,2,61,9
fudok,2015,3,71,11
fudok,2015,4,82,13
fudok,2016,1,89,15
fudok,2016,2,109,20
fudok,2016,3,121,19
fudok,2016,4,133,22
fudok,2017,1,155,27
fudok,2017,2,161,17
fudok,2017,3,185,23
fudok,2017,4,190,20
fudok,2018,1,220,38
fudok,2018,2,256,29
fudok,2018,3,262,18
fudok,2018,4,259,27
fudok,2019,1,256,23
fudok,2019,2,314,35
fudok,2019,3,337,31
fudok,2019,4,360,31
fudok,2020,2,388,31
fudok,2020,1,357,43
libuf,2015,1,86,4
libuf,2015,2,93,7
libuf,2015,3,94,2
libuf,2015,4,102,5
libuf,2016,1,99,4
libuf,2016,2,106,6
libuf,2016,3,110,5
libuf,2016,4,112,5
libuf,2017,1,121,10
libuf,2017,2,119,8
libuf,2017,3,127,9
libuf,2017,4,127,7
libuf,2018,1,143,10
libuf,2018,2,138,7
libuf,2018,3,131,5
libuf,2018,4,183,4
libuf,2019,1,139,5
libuf,2019,2,124,2
libuf,2019,3,134,4
libuf,2019,4,126,1
libuf,2020,2,136,6
libuf,2020,1,130,2
gihod,2015,1,26,1
gihod,2015,2,27,0
gihod,2015,3,25,1
gihod,2015,4,25,0
gihod,2016,1,26,1
gihod,2016,2,27,1
gihod,2016,3,25,1
gihod,2016,4,26,1
gihod,2017,1,25,0
gihod,2017,2,48,0
gihod,2017,3,24,0
gihod,2017,4,24,1
gihod,2018,1,26,2
gihod,2018,2,27,1
gihod,2018,3,27,0
gihod,2018,4,24,0
gihod,2019,1,22,0
gihod,2019,2,19,0
gihod,2019,3,19,0
gihod,2019,4,18,0
gihod,2020,2,19,0
gihod,2020,1,19,1
nofab,2015,1,135,10
nofab,2015,2,148,15
nofab,2015,3,156,10
nofab,2015,4,154,6
nofab,2016,1,165,13
nofab,2016,2,173,8
nofab,2016,3,179,12
nofab,2016,4,185,18
nofab,2017,1,188,11
nofab,2017,2,189,11
nofab,2017,3,195,14
nofab,2017,4,199,16
nofab,2018,1,191,8
nofab,2018,2,177,11
nofab,2018,3,200,10
nofab,2018,4,202,4
nofab,2019,1,201,8
nofab,2019,2,214,18
nofab,2019,3,222,11
nofab,2019,4,221,10
nofab,2020,1,210,6
nofab,2020,2,214,7
davup,2015,1,3053,215
davup,2015,2,3192,232
davup,2015,3,3205,176
davup,2015,4,3186,169
davup,2016,1,3364,245
davup,2016,2,3159,229
davup,2016,3,3265,266
davup,2016,4,3400,208
davup,2017,1,3513,237
davup,2017,2,3667,290
davup,2017,3,3756,260
davup,2017,4,3797,190
davup,2018,1,3876,282
davup,2018,2,3954,230
davup,2018,3,3986,258
davup,2018,4,4036,230
davup,2019,1,4073,240
davup,2019,2,4190,251
davup,2019,3,4130,185
davup,2019,4,4152,199
davup,2020,2,4208,119
davup,2020,1,4235,210
pifav,2015,1,796,21
pifav,2015,2,786,14
pifav,2015,3,796,14
pifav,2015,4,801,14
pifav,2016,1,804,31
pifav,2016,2,809,24
pifav,2016,3,858,39
pifav,2016,4,822,14
pifav,2017,1,855,32
pifav,2017,2,938,35
pifav,2017,3,817,27
pifav,2017,4,816,24
pifav,2018,1,806,14
pifav,2018,2,836,30
pifav,2018,3,831,20
pifav,2018,4,834,19
pifav,2019,1,836,15
pifav,2019,2,836,7
pifav,2019,3,834,17
pifav,2019,4,850,12
pifav,2020,1,853,19
pifav,2020,2,796,16
nohis,2015,1,478,20
nohis,2015,2,484,24
nohis,2015,3,473,16
nohis,2015,4,490,13
nohis,2016,1,504,29
nohis,2016,2,507,25
nohis,2016,3,512,33
nohis,2016,4,470,29
nohis,2017,1,482,36
nohis,2017,2,502,47
nohis,2017,3,526,39
nohis,2017,4,546,54
nohis,2018,1,596,67
nohis,2018,2,625,63
nohis,2018,3,650,55
nohis,2018,4,639,52
nohis,2019,1,688,59
nohis,2019,2,705,56
nohis,2019,3,684,49
nohis,2019,4,731,68
nohis,2020,1,760,56
nohis,2020,2,809,58
mipon,2015,1,2493,176
mipon,2015,2,2514,179
mipon,2015,3,2543,181
mipon,2015,4,2638,220
mipon,2016,1,2711,242
mipon,2016,2,2747,257
mipon,2016,3,2796,345
mipon,2016,4,3012,339
mipon,2017,1,3227,416
mipon,2017,2,3309,338
mipon,2017,3,3402,317
mipon,2017,4,3431,300
mipon,2018,1,3422,335
mipon,2018,2,3574,303
mipon,2018,3,3614,322
mipon,2018,4,3648,316
mipon,2019,1,3775,358
mipon,2019,2,3855,363
mipon,2019,3,3906,344
mipon,2019,4,4057,362
mipon,2020,2,4074,281
mipon,2020,1,4082,395
maluh,2015,1,72,9
maluh,2015,2,75,2
maluh,2015,3,74,2
maluh,2015,4,78,5
maluh,2016,1,82,4
maluh,2016,2,86,6
maluh,2016,3,86,2
maluh,2016,4,83,3
maluh,2017,1,80,0
maluh,2017,2,83,2
maluh,2017,3,84,5
maluh,2017,4,87,3
maluh,2018,1,92,3
maluh,2018,2,90,6
maluh,2018,3,90,6
maluh,2018,4,93,2
maluh,2019,1,88,5
maluh,2019,2,89,2
maluh,2019,3,93,3
maluh,2019,4,91,1
maluh,2020,1,90,2
maluh,2020,2,92,3
noluv,2015,1,753,40
noluv,2015,2,747,42
noluv,2015,3,750,35
noluv,2015,4,775,40
noluv,2016,1,807,66
noluv,2016,2,881,99
noluv,2016,3,901,75
noluv,2016,4,876,42
noluv,2017,1,955,57
noluv,2017,2,993,104
noluv,2017,3,972,61
noluv,2017,4,1023,58
noluv,2018,1,1067,58
noluv,2018,2,1028,69
noluv,2018,3,1004,60
noluv,2018,4,1021,70
noluv,2019,1,1044,61
noluv,2019,2,1043,43
noluv,2019,3,1040,54
noluv,2019,4,1018,43
noluv,2020,2,1048,34
noluv,2020,1,1036,56
hamil,2015,1,818,21
hamil,2015,2,800,18
hamil,2015,3,823,18
hamil,2015,4,799,20
hamil,2016,1,803,25
hamil,2016,2,782,20
hamil,2016,3,795,34
hamil,2016,4,821,25
hamil,2017,1,834,27
hamil,2017,2,856,20
hamil,2017,3,838,39
hamil,2017,4,860,29
hamil,2018,1,867,28
hamil,2018,2,867,30
hamil,2018,3,865,26
hamil,2018,4,862,21
hamil,2019,1,875,28
hamil,2019,2,892,38
hamil,2019,3,905,28
hamil,2019,4,880,29
hamil,2020,1,873,32
hamil,2020,2,873,21
lazir,2015,1,1418,88
lazir,2015,2,1457,76
lazir,2015,3,1470,54
lazir,2015,4,1489,60
lazir,2016,1,1574,102
lazir,2016,2,1544,75
lazir,2016,3,1654,153
lazir,2016,4,1742,153
lazir,2017,1,1712,106
lazir,2017,2,1829,140
lazir,2017,3,1920,146
lazir,2017,4,2000,143
lazir,2018,1,2073,148
lazir,2018,2,2122,141
lazir,2018,3,2181,162
lazir,2018,4,2249,157
lazir,2019,1,2332,206
lazir,2019,2,2394,150
lazir,2019,3,2469,184
lazir,2019,4,2497,174
lazir,2020,2,2566,89
lazir,2020,1,2598,165
rusol,2015,1,1563,23
rusol,2015,2,1557,29
rusol,2015,3,1575,26
rusol,2015,4,1595,32
rusol,2016,1,1602,34
rusol,2016,2,1593,26
rusol,2016,3,1602,32
rusol,2016,4,1603,23
rusol,2017,1,1588,24
rusol,2017,2,1599,20
rusol,2017,3,1605,44
rusol,2017,4,1592,23
rusol,2018,1,1607,25
rusol,2018,2,1588,31
rusol,2018,3,1621,32
rusol,2018,4,1638,26
rusol,2019,1,1631,20
rusol,2019,2,1531,16
rusol,2019,3,1508,32
rusol,2019,4,1559,26
rusol,2020,1,1591,25
rusol,2020,2,1538,25
tujif,2015,1,16239,1281
tujif,2015,2,16727,1219
tujif,2015,3,17160,1177
tujif,2015,4,17586,1150
tujif,2016,1,18356,1498
tujif,2016,2,19001,1485
tujif,2016,3,19929,1941
tujif,2016,4,20249,1354
tujif,2017,1,20789,1489
tujif,2017,2,21291,1219
tujif,2017,3,21686,1357
tujif,2017,4,21917,1264
tujif,2018,1,22289,1268
tujif,2018,2,22376,1184
tujif,2018,3,22679,1193
tujif,2018,4,22883,1233
tujif,2019,1,23166,1304
tujif,2019,2,23304,1123
tujif,2019,3,23430,1159
tujif,2019,4,23831,1172
tujif,2020,2,24799,1269
tujif,2020,1,24090,1257
mupof,2015,1,1917,85
mupof,2015,2,1934,97
mupof,2015,3,1981,79
mupof,2015,4,1947,67
mupof,2016,1,2007,89
mupof,2016,2,2088,138
mupof,2016,3,2104,89
mupof,2016,4,2113,58
mupof,2017,1,1931,76
mupof,2017,2,2028,84
mupof,2017,3,2076,82
mupof,2017,4,2118,96
mupof,2018,1,2139,102
mupof,2018,2,2178,88
mupof,2018,3,2197,73
mupof,2018,4,2212,91
mupof,2019,1,2221,91
mupof,2019,2,2225,72
mupof,2019,3,2212,69
mupof,2019,4,2191,48
mupof,2020,2,2205,40
mupof,2020,1,2196,62
libab,2015,1,570,17
libab,2015,2,577,12
libab,2015,3,690,25
libab,2015,4,572,14
libab,2016,1,593,19
libab,2016,2,619,23
libab,2016,3,594,34
libab,2016,4,1019,28
libab,2017,1,614,28
libab,2017,2,637,30
libab,2017,3,641,38
libab,2017,4,637,20
libab,2018,1,674,41
libab,2018,2,692,31
libab,2018,3,709,38
libab,2018,4,721,43
libab,2019,1,707,31
libab,2019,2,741,31
libab,2019,3,737,28
libab,2019,4,762,42
libab,2020,2,775,32
libab,2020,1,769,38
funat,2015,1,3193,213
funat,2015,2,3314,247
funat,2015,3,3437,217
funat,2015,4,3495,143
funat,2016,1,3548,151
funat,2016,2,3637,191
funat,2016,3,3613,153
funat,2016,4,3605,150
funat,2017,1,3686,187
funat,2017,2,3758,155
funat,2017,3,3755,135
funat,2017,4,3776,151
funat,2018,1,3877,157
funat,2018,2,4045,170
funat,2018,3,4165,220
funat,2018,4,4139,171
funat,2019,1,4174,181
funat,2019,2,4253,153
funat,2019,3,4358,150
funat,2019,4,4324,144
funat,2020,2,4439,87
funat,2020,1,4439,163
dataj,2015,1,102,13
dataj,2015,2,101,10
dataj,2015,3,258,15
dataj,2015,4,126,9
dataj,2016,1,132,14
dataj,2016,2,134,14
dataj,2016,3,164,22
dataj,2016,4,178,21
dataj,2017,1,329,24
dataj,2017,2,330,23
dataj,2017,3,354,20
dataj,2017,4,374,25
dataj,2018,1,NA,17
dataj,2018,2,411,34
dataj,2018,3,416,16
dataj,2018,4,381,8
dataj,2019,1,409,36
dataj,2019,2,384,11
dataj,2019,3,378,15
dataj,2019,4,405,20
dataj,2020,2,419,7
dataj,2020,1,412,13
ginug,2015,1,4446,90
ginug,2015,2,4673,69
ginug,2015,3,4553,96
ginug,2015,4,4566,84
ginug,2016,1,4596,69
ginug,2016,2,4577,75
ginug,2016,3,4633,132
ginug,2016,4,4657,71
ginug,2017,1,4625,81
ginug,2017,2,4716,69
ginug,2017,3,4676,43
ginug,2017,4,4700,57
ginug,2018,1,4724,82
ginug,2018,2,4755,66
ginug,2018,3,4763,67
ginug,2018,4,4772,56
ginug,2019,1,4760,70
ginug,2019,2,4761,50
ginug,2019,3,4775,62
ginug,2019,4,4787,116
ginug,2020,2,4783,46
ginug,2020,1,4781,41
vihoh,2015,1,2572,71
vihoh,2015,2,2577,78
vihoh,2015,3,2590,66
vihoh,2015,4,2615,49
vihoh,2016,1,2689,80
vihoh,2016,2,2730,81
vihoh,2016,3,2803,143
vihoh,2016,4,2858,85
vihoh,2017,1,2898,60
vihoh,2017,2,2906,67
vihoh,2017,3,2861,37
vihoh,2017,4,2845,38
vihoh,2018,1,2838,37
vihoh,2018,2,2809,54
vihoh,2018,3,2754,35
vihoh,2018,4,2763,44
vihoh,2019,1,2750,55
vihoh,2019,2,2755,49
vihoh,2019,3,2762,33
vihoh,2019,4,2746,45
vihoh,2020,2,2643,22
vihoh,2020,1,2688,43
sivot,2015,1,1305,99
sivot,2015,2,1317,58
sivot,2015,3,1337,60
sivot,2015,4,1372,80
sivot,2016,1,1435,75
sivot,2016,2,1496,87
sivot,2016,3,1574,87
sivot,2016,4,1547,51
sivot,2017,1,1599,113
sivot,2017,2,1620,97
sivot,2017,3,1694,87
sivot,2017,4,1745,77
sivot,2018,1,1703,62
sivot,2018,2,1761,65
sivot,2018,3,1804,53
sivot,2018,4,1807,69
sivot,2019,1,1874,69
sivot,2019,2,1890,52
sivot,2019,3,1900,46
sivot,2019,4,1927,67
sivot,2020,2,1920,33
sivot,2020,1,1945,70
kolaf,2015,1,706,27
kolaf,2015,2,712,20
kolaf,2015,3,723,32
kolaf,2015,4,748,25
kolaf,2016,1,751,37
kolaf,2016,2,767,28
kolaf,2016,3,794,45
kolaf,2016,4,804,29
kolaf,2017,1,842,40
kolaf,2017,2,836,34
kolaf,2017,3,842,25
kolaf,2017,4,848,19
kolaf,2018,1,835,34
kolaf,2018,2,862,35
kolaf,2018,3,857,19
kolaf,2018,4,855,25
kolaf,2019,1,842,23
kolaf,2019,2,862,34
kolaf,2019,3,894,30
kolaf,2019,4,869,26
kolaf,2020,2,897,20
kolaf,2020,1,873,30
jilof,2015,1,131,9
jilof,2015,2,134,6
jilof,2015,3,132,0
jilof,2015,4,129,2
jilof,2016,1,133,5
jilof,2016,2,137,7
jilof,2016,3,147,9
jilof,2016,4,154,7
jilof,2017,1,158,9
jilof,2017,2,159,5
jilof,2017,3,159,2
jilof,2017,4,162,5
jilof,2018,1,161,4
jilof,2018,2,161,4
jilof,2018,3,165,10
jilof,2018,4,165,6
jilof,2019,1,165,9
jilof,2019,2,182,9
jilof,2019,3,186,9
jilof,2019,4,174,10
jilof,2020,2,196,7
jilof,2020,1,179,9
jinot,2015,1,581,35
jinot,2015,2,587,29
jinot,2015,3,576,28
jinot,2015,4,643,42
jinot,2016,1,595,26
jinot,2016,2,583,30
jinot,2016,3,597,26
jinot,2016,4,586,21
jinot,2017,1,592,20
jinot,2017,2,613,28
jinot,2017,3,616,22
jinot,2017,4,597,19
jinot,2018,1,615,33
jinot,2018,2,634,31
jinot,2018,3,659,38
jinot,2018,4,643,35
jinot,2019,1,670,34
jinot,2019,2,696,23
jinot,2019,3,672,34
jinot,2019,4,680,21
jinot,2020,2,671,14
jinot,2020,1,688,37
tisuf,2015,1,1377,57
tisuf,2015,2,1394,85
tisuf,2015,3,1540,95
tisuf,2015,4,1449,63
tisuf,2016,1,1486,67
tisuf,2016,2,1443,125
tisuf,2016,3,1505,83
tisuf,2016,4,1494,45
tisuf,2017,1,1497,65
tisuf,2017,2,1502,66
tisuf,2017,3,1531,71
tisuf,2017,4,1566,69
tisuf,2018,1,1543,67
tisuf,2018,2,1554,63
tisuf,2018,3,1567,58
tisuf,2018,4,1565,47
tisuf,2019,1,1559,53
tisuf,2019,2,1578,60
tisuf,2019,3,1602,60
tisuf,2019,4,1614,68
tisuf,2020,1,1616,48
tisuf,2020,2,1630,46
kibub,2015,1,246,8
kibub,2015,2,239,16
kibub,2015,3,237,8
kibub,2015,4,245,18
kibub,2016,1,250,9
kibub,2016,2,261,17
kibub,2016,3,267,33
kibub,2016,4,291,31
kibub,2017,1,289,23
kibub,2017,2,297,16
kibub,2017,3,389,26
kibub,2017,4,307,28
kibub,2018,1,328,31
kibub,2018,2,339,32
kibub,2018,3,353,44
kibub,2018,4,362,32
kibub,2019,1,387,35
kibub,2019,2,405,27
kibub,2019,3,419,37
kibub,2019,4,425,28
kibub,2020,2,453,21
kibub,2020,1,460,30
vihur,2015,1,708,34
vihur,2015,2,734,29
vihur,2015,3,755,30
vihur,2015,4,782,25
vihur,2016,1,804,49
vihur,2016,2,797,58
vihur,2016,3,827,98
vihur,2016,4,822,47
vihur,2017,1,876,47
vihur,2017,2,904,27
vihur,2017,3,930,46
vihur,2017,4,958,34
vihur,2018,1,932,39
vihur,2018,2,941,31
vihur,2018,3,920,62
vihur,2018,4,853,44
vihur,2019,1,971,60
vihur,2019,2,971,36
vihur,2019,3,990,32
vihur,2019,4,978,51
vihur,2020,2,1018,25
vihur,2020,1,998,38
rukul,2015,1,701,22
rukul,2015,2,672,33
rukul,2015,3,644,32
rukul,2015,4,688,42
rukul,2016,1,689,20
rukul,2016,2,727,37
rukul,2016,3,733,42
rukul,2016,4,750,38
rukul,2017,1,787,34
rukul,2017,2,753,28
rukul,2017,3,797,34
rukul,2017,4,870,26
rukul,2018,1,824,26
rukul,2018,2,810,16
rukul,2018,3,781,23
rukul,2018,4,774,19
rukul,2019,1,802,32
rukul,2019,2,796,22
rukul,2019,3,804,26
rukul,2019,4,787,18
rukul,2020,2,808,9
rukul,2020,1,808,17
visub,2015,1,499,34
visub,2015,2,463,29
visub,2015,3,501,38
visub,2015,4,476,45
visub,2016,1,519,38
visub,2016,2,526,20
visub,2016,3,549,40
visub,2016,4,554,34
visub,2017,1,550,21
visub,2017,2,551,25
visub,2017,3,610,60
visub,2017,4,606,54
visub,2018,1,622,30
visub,2018,2,643,43
visub,2018,3,634,41
visub,2018,4,659,36
visub,2019,1,655,43
visub,2019,2,662,20
visub,2019,3,692,46
visub,2019,4,679,17
visub,2020,1,679,34
visub,2020,2,675,17
gaguk,2015,1,930,64
gaguk,2015,2,960,60
gaguk,2015,3,996,66
gaguk,2015,4,1021,52
gaguk,2016,1,1064,78
gaguk,2016,2,1070,51
gaguk,2016,3,1136,119
gaguk,2016,4,1204,107
gaguk,2017,1,1267,91
gaguk,2017,2,1297,75
gaguk,2017,3,1300,58
gaguk,2017,4,1337,84
gaguk,2018,1,1369,81
gaguk,2018,2,1392,74
gaguk,2018,3,1374,48
gaguk,2018,4,1387,58
gaguk,2019,1,1401,61
gaguk,2019,2,1469,64
gaguk,2019,3,1437,68
gaguk,2019,4,1452,56
gaguk,2020,2,1469,44
gaguk,2020,1,1479,49
magip,2015,1,777,57
magip,2015,2,791,47
magip,2015,3,790,39
magip,2015,4,816,32
magip,2016,1,772,30
magip,2016,2,811,46
magip,2016,3,863,83
magip,2016,4,942,51
magip,2017,1,1042,61
magip,2017,2,960,61
magip,2017,3,1092,53
magip,2017,4,981,35
magip,2018,1,976,55
magip,2018,2,972,55
magip,2018,3,1020,72
magip,2018,4,1019,43
magip,2019,1,1062,54
magip,2019,2,1090,45
magip,2019,3,1167,53
magip,2019,4,1048,42
magip,2020,2,1063,41
magip,2020,1,1042,48
gadov,2015,1,335,16
gadov,2015,2,352,14
gadov,2015,3,357,13
gadov,2015,4,358,18
gadov,2016,1,369,16
gadov,2016,2,391,28
gadov,2016,3,389,18
gadov,2016,4,392,13
gadov,2017,1,409,22
gadov,2017,2,420,22
gadov,2017,3,414,22
gadov,2017,4,411,12
gadov,2018,1,412,21
gadov,2018,2,404,8
gadov,2018,3,421,22
gadov,2018,4,407,22
gadov,2019,1,420,23
gadov,2019,2,418,16
gadov,2019,3,446,16
gadov,2019,4,443,24
gadov,2020,1,555,13
gadov,2020,2,566,11
rojum,2015,1,204,11
rojum,2015,2,222,12
rojum,2015,3,233,13
rojum,2015,4,238,13
rojum,2016,1,246,26
rojum,2016,2,299,19
rojum,2016,3,298,36
rojum,2016,4,296,26
rojum,2017,1,317,22
rojum,2017,2,312,22
rojum,2017,3,339,25
rojum,2017,4,344,12
rojum,2018,1,360,30
rojum,2018,2,372,19
rojum,2018,3,369,24
rojum,2018,4,361,21
rojum,2019,1,360,22
rojum,2019,2,375,23
rojum,2019,3,374,20
rojum,2019,4,380,18
rojum,2020,2,388,9
rojum,2020,1,379,8
mubuf,2015,1,467,17
mubuf,2015,2,492,15
mubuf,2015,3,505,40
mubuf,2015,4,502,20
mubuf,2016,1,520,29
mubuf,2016,2,535,26
mubuf,2016,3,556,44
mubuf,2016,4,563,31
mubuf,2017,1,578,31
mubuf,2017,2,594,22
mubuf,2017,3,617,33
mubuf,2017,4,615,28
mubuf,2018,1,625,40
mubuf,2018,2,658,29
mubuf,2018,3,645,28
mubuf,2018,4,659,28
mubuf,2019,1,686,37
mubuf,2019,2,648,23
mubuf,2019,3,674,42
mubuf,2019,4,652,18
mubuf,2020,2,669,13
mubuf,2020,1,670,25
kavaz,2015,1,1222,74
kavaz,2015,2,1263,78
kavaz,2015,3,1272,73
kavaz,2015,4,1315,81
kavaz,2016,1,1366,98
kavaz,2016,2,1442,122
kavaz,2016,3,1538,139
kavaz,2016,4,1593,101
kavaz,2017,1,1644,93
kavaz,2017,2,1791,102
