facility,year,quarter,art_current,art_new
zulot,2020,1,11573,368
sisak,2015,1,3010,175
sisak,2015,2,3076,171
sisak,2015,3,3125,189
sisak,2015,4,3142,132
sisak,2016,1,3190,166
sisak,2016,2,3231,167
sisak,2016,3,3270,220
sisak,2016,4,3341,185
sisak,2017,1,3469,224
sisak,2017,2,3676,280
sisak,2017,3,3780,230
sisak,2017,4,3779,223
sisak,2018,1,3976,253
sisak,2018,2,4052,244
sisak,2018,3,4145,277
sisak,2018,4,4132,226
sisak,2019,1,4045,225
sisak,2019,2,4246,195
sisak,2019,3,4297,265
sisak,2019,4,4272,228
sisak,2020,2,4288,193
sisak,2020,1,4316,247
ginav,2015,1,4716,297
ginav,2015,2,4878,376
ginav,2015,3,4985,294
ginav,2015,4,5095,368
ginav,2016,1,5222,344
ginav,2016,2,5396,392
ginav,2016,3,5613,486
ginav,2016,4,5715,467
ginav,2017,1,6099,628
ginav,2017,2,6134,518
ginav,2017,3,6434,507
ginav,2017,4,6755,514
ginav,2018,1,6679,570
ginav,2018,2,6920,605
ginav,2018,3,7224,733
ginav,2018,4,7218,617
ginav,2019,1,7318,612
ginav,2019,2,7372,539
ginav,2019,3,7217,556
ginav,2019,4,7680,517
ginav,2020,2,7636,248
ginav,2020,1,7859,560
faboh,2015,1,718,18
faboh,2015,2,715,17
faboh,2015,3,724,27
faboh,2015,4,721,20
faboh,2016,1,721,19
faboh,2016,2,726,28
faboh,2016,3,738,39
faboh,2016,4,748,32
faboh,2017,1,755,18
faboh,2017,2,750,27
faboh,2017,3,745,21
faboh,2017,4,742,17
faboh,2018,1,735,30
faboh,2018,2,761,23
faboh,2018,3,781,26
faboh,2018,4,805,49
faboh,2019,1,815,119
faboh,2019,2,854,133
faboh,2019,3,805,35
faboh,2019,4,760,25
faboh,2020,1,768,15
faboh,2020,2,801,31
karim,2015,1,3400,153
karim,2015,2,3564,225
karim,2015,3,3605,196
karim,2015,4,3621,139
karim,2016,1,3687,179
karim,2016,2,3871,272
karim,2016,3,4077,315
karim,2016,4,4153,226
karim,2017,1,4249,262
karim,2017,2,4126,186
karim,2017,3,4321,221
karim,2017,4,4391,248
karim,2018,1,4479,253
karim,2018,2,4526,194
karim,2018,3,4568,220
karim,2018,4,4602,194
karim,2019,1,4669,195
karim,2019,2,4667,185
karim,2019,3,4660,175
karim,2019,4,4706,228
karim,2020,2,4771,129
karim,2020,1,4803,255
kaloh,2015,1,4793,176
kaloh,2015,2,4856,173
kaloh,2015,3,4934,193
kaloh,2015,4,4958,140
kaloh,2016,1,5025,177
kaloh,2016,2,5130,219
kaloh,2016,3,5325,297
kaloh,2016,4,5445,228
kaloh,2017,1,5569,269
kaloh,2017,2,5695,267
kaloh,2017,3,5824,263
kaloh,2017,4,5885,193
kaloh,2018,1,5992,224
kaloh,2018,2,6052,212
kaloh,2018,3,6052,212
kaloh,2018,4,6160,209
kaloh,2019,1,6240,248
kaloh,2019,2,6320,231
kaloh,2019,3,6411,223
kaloh,2019,4,6460,177
kaloh,2020,2,6658,204
kaloh,2020,1,6592,226
jisod,2015,1,3090,181
jisod,2015,2,3217,223
jisod,2015,3,3273,187
jisod,2015,4,3308,182
jisod,2016,1,3445,278
jisod,2016,2,3596,216
jisod,2016,3,3697,233
jisod,2016,4,3776,213
jisod,2017,1,3886,232
jisod,2017,2,3936,172
jisod,2017,3,4034,190
jisod,2017,4,4026,183
jisod,2018,1,4155,245
jisod,2018,2,4218,211
jisod,2018,3,4294,255
jisod,2018,4,4351,223
jisod,2019,1,4453,243
jisod,2019,2,4506,193
jisod,2019,3,4484,243
jisod,2019,4,4598,241
jisod,2020,2,4735,142
jisod,2020,1,4718,224
nojut,2015,1,21,1
nojut,2015,2,18,1
nojut,2015,3,35,1
nojut,2015,4,23,1
nojut,2016,1,24,0
nojut,2016,2,22,0
nojut,2016,3,23,1
nojut,2016,4,20,1
nojut,2017,1,26,2
nojut,2017,2,28,2
nojut,2017,3,28,0
nojut,2017,4,77,6
fuvor,2015,1,3279,192
fuvor,2015,2,3348,156
fuvor,2015,3,3424,161
fuvor,2015,4,3509,173
fuvor,2016,1,3601,205
fuvor,2016,2,3767,241
fuvor,2016,3,3861,231
fuvor,2016,4,3961,234
fuvor,2017,1,4084,234
fuvor,2017,2,4180,237
fuvor,2017,3,4241,225
fuvor,2017,4,4305,224
fuvor,2018,1,4403,247
fuvor,2018,2,4537,257
fuvor,2018,3,4617,266
fuvor,2018,4,4596,184
fuvor,2019,1,4617,193
fuvor,2019,2,4617,166
fuvor,2019,3,4661,181
fuvor,2019,4,4700,184
fuvor,2020,2,4807,138
fuvor,2020,1,4781,210
posob,2015,1,4513,356
posob,2015,2,4693,340
posob,2015,3,4919,396
posob,2015,4,5036,326
posob,2016,1,5143,325
posob,2016,2,5240,318
posob,2016,3,5476,445
posob,2016,4,5520,339
posob,2017,1,5684,341
posob,2017,2,5828,318
posob,2017,3,5905,301
posob,2017,4,6043,268
posob,2018,1,6062,300
posob,2018,2,6098,341
posob,2018,3,6141,358
posob,2018,4,6095,299
posob,2019,1,6147,332
posob,2019,2,5977,267
posob,2019,3,6003,268
posob,2019,4,6109,269
posob,2020,1,6194,308
posob,2020,2,6224,175
dovof,2015,1,2035,146
dovof,2015,2,2071,123
dovof,2015,3,2132,117
dovof,2015,4,2178,157
dovof,2016,1,2172,114
